	none	none none																																
2d point-3d line correspondences																																		
2d-to-3d																																		
3-d boxes																																		
360 video	360° video	360° videos	360° images	cinematic virtual reality																														
3d authoring																																		
3d body scanning																																		
3d contextual objects																																		
3d displays	3d display	3d display environment	i.3.1 computer graphics: hardware architecture-three-dimensional displays	three-dimensional displays	three dimensional displays	threedimensional scanning display																												
3d face reconstruction																																		
3d full human body model scanning																																		
3d graphics and realism (I.3.7)	i.3.7: three-dimensional graphics and realism	i.3.7 three-dimensional graphics and realism	3d graphics	three-dimensional graphics and realism	i.3.7 computer graphics: three-dimensional graphics																													
3d human animation																																		
3d human pose estimation																																		
3d image synthesis																																		
3d imaging	computing methodologies—3d imaging	computer vision—image and video acquisition—3d imaging																																
3d interaction																																		
3d medical image																																		
3d model acquisition																																		
3d model tracking																																		
3d modeling																																		
3d navigation																																		
3d object selection																																		
3d perceptual judgement task																																		
3d physical model																																		
3d point lattice																																		
3d pointing																																		
3d scanning devices																																		
3d selection	3d selection techniques	3d selection guidelines																																
3d social interaction																																		
3d user interfaces (3dui)	3d user interface	3d human-computer interaction	3-d ui	3d interaction	3d interaction for vr	3d interaction technique																												
3d visualization	3d scatterplots																																	
4-sided display																																		
6dof	six degrees of freedom																																	
a star																																		
abdomen																																		
absorption																																		
abstract information visualization																																		
abstracts																																		
acceleration																																		
accelerometers																																		
accessibility technologies	human-centered computing-accessibility-accessibility technologies	vr accessibility	people with disabilities	social and professional topics-user characteristics-people with disabilities																														
accidents																																		
accuracy																																		
acoustic applications																																		
acoustic beams																																		
acoustic devices																																		
acoustic materials																																		
acoustic sensors																																		
acoustic signal detection																																		
acoustic testing																																		
acoustic waves																																		
acoustical engineering																																		
acoustics																																		
acting	acting rehearsal and performance																																	
active safety																																		
active transportation																																		
actuators																																		
adaptation models																																		
adaptive																																		
adaptive filters																																		
adaptive optics																																		
adaptive systems																																		
adaptive trigger resistance																																		
additives																																		
adjacent overlapping room																																		
aerial firefighting																																		
aerodynamics																																		
aerospace control																																		
aerospace electronics																																		
aerospace engineering																																		
aerospace industry																																		
aesthetics																																		
affective space																																		
affordances	affordance																																	
agency																																		
agents	virtual agents	intelligent agents	intelligent agent	embodied agents	autonomous agents	computing methodologies-intelligent agents																												
aggregates																																		
aging																																		
agricultural engineering																																		
agriculture																																		
air cannon																																		
air traffic control																																		
aircraft	airplanes	military aircraft																																
aircraft manufacture																																		
aircraft navigation																																		
airflow field																																		
airports																																		
algorithms	algorithm design and analysis																																	
alpha activity																																		
ambiguity																																		
amd																																		
amplified head rotations																																		
analysis of variance																																		
analytical models																																		
anatomy layer support																																		
and systems																																		
and thresholding																																		
anesthesiology																																		
angle of declination																																		
angular velocity																																		
animal behavior																																		
animations	animation	multimedia information systems — animations	h.5.2 information interfaces and presentation: multimedia information systems-animations	h.5.1 information interfaces and presentation: multimedia information systems-animations	h.5.1 information interfaces and presentation: multimedia information systems — animations	h.5.1 information interfaces and presentation: multimedia information systems—animations	i.3.7 computer graphics: three-dimensional graphics and realism-animation	i.3.7 computer graphics: three-dimensional graphics and realism-animations	i.3.7 computer graphics: graphics and realism-animation	i.3.7 computer graphics: three-dimensional graphics and realism: animation	i.3.7 computing methodologies: three-dimensional graphics and realism-nimation	h.5.1 information interfaces and presentation: multimedia information systems-animations																						
anisotropic magnetoresistance																																		
annotations																																		
anthropometry																																		
anthropomorphic user interfaces																																		
anxiety																																		
anywhere augmentation																																		
apertures																																		
appearance (computer vision)	computer vision: appearance	artificial intelligence—computer vision—computer vision representations—appearance and texture representations																																
application development																																		
application software																																		
applications	i.3.8 computer graphics: applications	i.5.4 pattern recognition: applications		i.4.9 computing methodologies: image processing and computer vision-applications	computer applications	application																												
applied computing																																		
applied perception																																		
applied virtual reality																																		
appropriate technology																																		
ar glasses																																		
architectural design																																		
architecture	j.5 arts and humanities: architecture 																																	
arduino																																		
area measurement																																		
argon																																		
arms	arm																																	
array signal processing																																		
art																																		
artag																																		
arterial pulse simulation																																		
artificial																																		
artificial intelligence	computing methodologies-artificial intelligence																																	
artificial potential field																																		
arts and humanities																																		
assembly	assembly systems																																	
assessment																																		
assistance																																		
astronomy																																		
asymmetric																																		
asymmetric collaborative visualization																																		
asynchronous transfer mode																																		
atmosphere																																		
atmospheric measurements																																		
atmospheric modeling																																		
attention																																		
attenuation																																		
audio																																		
audio systems																																		
audio-visual systems																																		
